Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2020-11-06,15540.5965908122,15607.5054966298,15971.6414160533,15202.7645070968
BTC,2020-11-07,14783.9816785334,15603.2585399726,15764.1046995842,14330.6818321216
BTC,2020-11-08,15500.3342547421,14820.4364683332,15657.1290415238,14711.5481916284
BTC,2020-11-09,15283.7801387338,15481.90607704,15810.7737858324,14845.7917621777
BTC,2020-11-10,15374.0443857602,15327.5883894758,15448.4127535465,15092.389798398
BTC,2020-11-11,15820.4952410758,15316.7490120132,15973.0760779871,15294.2933232501
BTC,2020-11-12,16253.3102719418,15701.8651040755,16348.4627957539,15474.7610848607
BTC,2020-11-13,16347.0449203531,16302.8428022629,16487.4881476243,15971.1427991995
BTC,2020-11-14,15991.833024404,16329.7988908906,16333.5131389819,15718.8887882143
BTC,2020-11-15,15918.0801281116,16078.9700118578,16167.3969220473,15792.7790777436
BTC,2020-11-16,16752.0029899638,15969.5160057601,16885.5801948686,15881.7038454383
BTC,2020-11-17,17593.4864149334,16718.599655511,17831.2311843388,16560.9996274263
BTC,2020-11-18,17834.6365337098,17672.6528364115,18358.9762512732,17283.4948533778
BTC,2020-11-19,17954.8580090953,17786.2125755205,18170.8302741776,17381.2362634077
BTC,2020-11-20,18612.870672181,17823.3433048082,18813.4076918441,17762.9288222253
BTC,2020-11-21,18591.8566047532,18666.5802245562,18964.6435144085,18368.2899589986
BTC,2020-11-22,18629.995537256,18683.8472010104,18732.9913156418,17806.2675986902
BTC,2020-11-23,18469.2004694785,18405.5557000806,18752.160039632,17990.1108860579
BTC,2020-11-24,19045.7364656531,18370.2196087254,19392.9086751275,18059.2654337777
BTC,2020-11-25,18746.9348067039,19136.0829674867,19391.4636603479,18640.6421794386
BTC,2020-11-26,17187.4062763281,18719.207158875,18908.6355321966,16242.7029385894
BTC,2020-11-27,17023.9614000906,17180.7187297796,17482.2001046051,16489.3026655507
BTC,2020-11-28,17814.7802784355,17159.1094973637,17901.3826229953,16906.1761036597
BTC,2020-11-29,18114.4143492772,17742.8230386514,18356.3132272691,17545.1962165085
BTC,2020-11-30,19382.3605858664,18201.2772477534,19850.1144867831,18201.2772477534
BTC,2020-12-01,18980.9774501247,19677.9898439462,19920.5342631125,18171.7505114654
BTC,2020-12-02,19184.8978477411,18796.748641923,19357.1645864629,18360.2317184814
BTC,2020-12-03,19464.5317045601,19220.5901486291,19607.8553439685,18899.4886854844
BTC,2020-12-04,18813.1247602864,19441.558803722,19539.8623502689,18717.1249252498
BTC,2020-12-05,19045.0202725986,18668.1585497632,19200.7919144938,18518.8514200355
BTC,2020-12-06,19113.9333950879,19162.264456097,19347.6249102199,18927.2995560835
BTC,2020-12-07,19107.5997953098,19373.4452349264,19433.0974949195,18931.5712971542
BTC,2020-12-08,18682.4578332067,19177.9261726507,19299.047083554,18630.7424805256
BTC,2020-12-09,18543.0070492215,18320.2331279773,18618.9601329047,17640.5620740623
BTC,2020-12-10,18359.4766003421,18557.4529087425,18565.2161669202,17904.0689862574
BTC,2020-12-11,18137.3193746116,18255.7737538125,18293.5527323749,17593.1720985212
BTC,2020-12-12,18882.2601710641,18040.1706203685,18956.3444440705,18029.1431656364
BTC,2020-12-13,19060.2769012786,18822.5099387013,19408.6746531608,18726.8470852308
BTC,2020-12-14,19251.2240047093,19161.1384661758,19323.1653148993,19015.6859696958
BTC,2020-12-15,19443.4763528278,19264.6703009515,19552.3719782745,19053.3424717506
BTC,2020-12-16,21310.6562622307,19433.1413677812,21447.5238524765,19293.2989610969
BTC,2020-12-17,22895.9762375501,21351.2548089696,23770.8465691182,21248.365334993
BTC,2020-12-18,23008.7762567449,22819.558895542,23261.2528803313,22357.6076472517
BTC,2020-12-19,23890.8226488694,23126.6067653983,24122.6732679864,22781.8767814725
BTC,2020-12-20,23537.3698908908,23829.2848041264,24273.0415046035,23085.9547695747
BTC,2020-12-21,23177.2709979948,23476.0874997189,24081.0530944132,21960.1913477373
BTC,2020-12-22,23433.9807581397,22729.6592907496,23629.4044602146,22384.1278462375
BTC,2020-12-23,23224.4541378534,23791.5652944679,24086.9506606215,22644.5610583725
BTC,2020-12-24,23623.8855332302,23228.9090871597,23737.7571494804,22716.1741673963
BTC,2020-12-25,24581.0061712681,23726.1909988895,24627.297913983,23422.3103250376
BTC,2020-12-26,26381.2962329223,24708.2067842365,26750.8799540068,24497.4108688388
BTC,2020-12-27,26389.2902649448,26447.7080723867,28352.6278235304,25759.0686089471
BTC,2020-12-28,26718.0294634041,26226.0661304597,27447.5513835111,26046.6255781142
BTC,2020-12-29,26975.7295645207,27038.7356756303,27169.2255580213,25875.0497857974
BTC,2020-12-30,28768.8362075267,27349.3272325944,28928.2143914654,27349.2832043642
BTC,2020-12-31,29111.5215671239,28872.8297746092,29280.0453282743,27916.6250585376
BTC,2021-01-01,29333.6051206224,28935.8109810492,29601.5948984761,28753.412313829
BTC,2021-01-02,32154.1673632745,29353.6406079891,33064.6735343199,29012.9278866631
BTC,2021-01-03,33002.5364270397,32074.1066108681,34452.0803367239,31885.5816186745
BTC,2021-01-04,31431.6122797216,32788.5834526939,33358.3993456031,28154.1102978607
BTC,2021-01-05,34433.6065138377,31991.9268648971,34435.4174754116,29948.6536284251
BTC,2021-01-06,36275.7563476709,34001.3447644318,36461.6917738274,33351.0281200728
BTC,2021-01-07,39713.5078567171,36806.4197553652,40324.0140328883,36356.4307560234
BTC,2021-01-08,40519.4485975339,39420.800696056,41962.3621250156,36741.3301768178
BTC,2021-01-09,40258.923988658,40558.1021230592,41375.4306807605,38766.2761605625
BTC,2021-01-10,38709.7653748751,40096.333201718,41186.5234299068,34897.55046586
BTC,2021-01-11,34409.6423752223,38132.535793776,38204.7544098997,30305.3000452098
BTC,2021-01-12,34214.6102620504,35432.8591449362,36566.9090630439,32538.9411741261
BTC,2021-01-13,37017.0075034547,34070.3256221573,37798.8601044987,32470.585257739
BTC,2021-01-14,38435.8635146613,37373.1619606947,40066.3197563039,36770.7951226794
BTC,2021-01-15,36751.5849736892,39127.6785205561,39673.0723008878,34425.4879409361
BTC,2021-01-16,36016.7796059422,36752.7711846477,37943.5121652479,35398.8675192264
BTC,2021-01-17,36375.8113792618,36016.7530890736,36840.1328539,33870.1383757585
BTC,2021-01-18,36346.6095022257,35847.8334246585,37440.4040115605,34816.2892503946
BTC,2021-01-19,36577.5196463886,36639.9859124177,37876.1589287651,36136.5355744097
BTC,2021-01-20,35004.5326268831,35909.4322470885,36409.7085963005,33430.8219917583
BTC,2021-01-21,30606.1826756533,35491.4239211366,35612.7371984016,30077.2789554444
BTC,2021-01-22,33368.3659318948,30844.8331515336,33873.7729879217,28845.3114802702
BTC,2021-01-23,32070.0974252022,33000.4466440014,33501.248445319,31451.2963049754
BTC,2021-01-24,32285.726132437,32107.3918172586,33088.5485468723,30987.7038591708
BTC,2021-01-25,32500.2559626891,32297.5041671983,34893.984019267,31949.282371139
BTC,2021-01-26,32324.5556507343,32270.825619776,32770.8046094116,31062.5495278594
BTC,2021-01-27,30534.9993730199,32497.8484610587,32570.2815018184,29452.7855936193
BTC,2021-01-28,33408.2183373915,30426.0844006272,33481.4854175656,29921.9600768936
BTC,2021-01-29,34842.5573931247,33424.5955911396,38468.0782896097,31984.0089164245
BTC,2021-01-30,34622.3732315285,34265.3766577343,34920.2911469008,32945.3699757616
BTC,2021-01-31,33087.3698645166,34304.2345090189,34373.7340050826,32229.545180648
BTC,2021-02-01,33613.320764309,33138.7765051813,34715.6557313683,32341.9899131003
BTC,2021-02-02,35632.9019515192,33525.2882463337,36008.3108158761,33437.7469091333
BTC,2021-02-03,37397.426364087,35519.7077694716,37505.3037068082,35416.7317762554
BTC,2021-02-04,37256.2521108726,37645.9456401468,38731.0879518096,36207.4943099808
BTC,2021-02-05,37851.5965900821,36970.8122685505,38332.4169205185,36637.6456237511
BTC,2021-02-06,40302.7997928393,38305.2753898303,40999.046843054,38233.7266680261
BTC,2021-02-07,38461.6814033048,39253.2277333162,39698.0658963504,37388.3416909328
BTC,2021-02-08,44716.6854690563,38853.2994536403,44981.8599987139,38036.2832494539
BTC,2021-02-09,46674.851688109,46433.4896361302,48226.2508883909,45058.0689954798
BTC,2021-02-10,45237.475689253,46512.9905626574,47374.3559087009,43886.2760376392
BTC,2021-02-11,47500.8975242038,44859.8476721646,48600.631934831,44070.7270645652
BTC,2021-02-12,47884.1828622953,47992.6229090107,48925.5344821123,46550.1479507901
BTC,2021-02-13,47005.1906488965,47405.5571536702,48189.7779898626,46333.5736597339
BTC,2021-02-14,49151.167576322,47231.1333397211,49716.4363790221,47105.1717450729
BTC,2021-02-15,48125.9921954072,48654.8307175884,49037.9161086163,45926.2515472821
BTC,2021-02-16,48840.4144745814,47944.4849703385,50584.8489491944,47088.8360788441
BTC,2021-02-17,52165.3025552208,49186.3338669074,52621.8350655614,48990.8951907168
BTC,2021-02-18,51728.5087967282,52146.0033853347,52532.2971174498,50971.7431761303
BTC,2021-02-19,55719.2043616996,51598.1437142228,56283.5498409308,50821.4728195952
BTC,2021-02-20,54801.6486439949,55917.0391830706,57487.0283054604,54039.6739238208
BTC,2021-02-21,57128.6426064698,55913.3514450919,58332.3646162063,55531.5507032322
BTC,2021-02-22,54181.9146491937,57453.3580092292,57535.8634824952,47780.7495832678
BTC,2021-02-23,48172.8774769266,54124.5390943883,54180.2321793164,45047.7828575476
BTC,2021-02-24,48745.4329843392,48923.0350805835,51413.6135567667,47032.5242618706
BTC,2021-02-25,48291.4120833455,49746.6516311104,52076.3177229818,47501.674798206
BTC,2021-02-26,45752.1149194059,47135.5517277445,48453.7386345789,44279.4495381694
BTC,2021-02-27,46642.6060765784,46326.8240662604,48353.0009997272,46207.7057791701
BTC,2021-02-28,45092.8065726007,46204.0585644331,46675.1978497681,43119.157023758
BTC,2021-03-01,49248.914013312,45234.3687569565,49520.7249935968,45044.3837644809
BTC,2021-03-02,47900.7768783279,49636.0214648134,50211.4371703528,47200.042169092
BTC,2021-03-03,50811.855174443,48526.9903619638,52636.222987521,48195.1231038261
BTC,2021-03-04,48259.4870766621,50433.43614725,51781.967830174,47578.3072329746
BTC,2021-03-05,49149.7308288371,48404.2136268243,49462.1330062648,46393.3914635486
BTC,2021-03-06,48879.1519041557,48791.7905089441,49173.7618742134,47127.0409714578
BTC,2021-03-07,50594.6985745107,48887.566413132,51222.8723000143,48887.566413132
BTC,2021-03-08,51503.2581321815,50948.8807074493,51916.4139456018,49390.1827152952
BTC,2021-03-09,54458.0378114244,52360.7481633466,54804.0784533568,51865.5900329546
BTC,2021-03-10,56915.1739350527,54924.6865322271,57336.7454125548,53101.2363718899
BTC,2021-03-11,57636.7579619661,55898.8648164963,58034.7039641727,54323.6084986415
BTC,2021-03-12,57306.166262989,57817.2702106193,58077.9516003434,55116.258354667
BTC,2021-03-13,60743.0418249111,57227.2334504064,61556.5944921945,56124.1499937536
BTC,2021-03-14,60197.9019918003,60972.4912822272,61453.0583419279,59275.7038320695
BTC,2021-03-15,56300.3341086303,58962.4884645416,60570.6936530492,54790.3293132007
BTC,2021-03-16,56639.7839496711,55668.6235320123,56821.8824352676,53350.3677261802
BTC,2021-03-17,58567.2837810578,56908.5650181465,58923.5489310284,54201.7016335385
BTC,2021-03-18,57983.094743574,58883.0183569279,60074.3698484262,57075.0685717417
BTC,2021-03-19,58451.7314659458,57661.4151760071,59461.7752558814,56327.7928291708
BTC,2021-03-20,58593.6024540601,58127.6880369045,59919.2117705724,57914.8945148009
BTC,2021-03-21,57796.4673712199,58139.3002655962,58649.1341945667,55645.0542716299
BTC,2021-03-22,54329.3586346314,57389.2116182088,58407.6192058119,53795.1540855809
BTC,2021-03-23,54794.2977137099,54143.1060411186,55858.3692503114,53031.3267854018
BTC,2021-03-24,52787.7455257516,54375.8076292116,57225.2988140147,51777.9710941205
BTC,2021-03-25,52173.8679802456,52335.565034056,53209.4063842316,50458.0999654431
BTC,2021-03-26,54483.0457323,51344.0489802149,54806.8815135324,51286.2911772789
BTC,2021-03-27,56234.3561050027,55067.8243992337,56520.3072872845,54022.0769411946
BTC,2021-03-28,55343.9258153269,55843.7489159098,56541.0065274396,54741.6263732317
BTC,2021-03-29,57627.6792491031,55786.5460749289,58353.5293934274,54929.6805881028
BTC,2021-03-30,58734.4754337222,57613.1612610215,59379.9921589643,57069.2292723107
BTC,2021-03-31,58724.6645166272,58810.1558902316,59835.392334136,56934.3121158485
BTC,2021-04-01,58984.6129299288,58764.4330922567,59458.9845627677,57973.352097854
BTC,2021-04-02,58821.6269944414,58726.0845659329,60101.7523258852,58478.5983494219
BTC,2021-04-03,57517.7987731414,58958.4289847544,59713.2101360277,57185.7680059776
BTC,2021-04-04,58177.4027637323,57134.860051301,58540.9847064005,56552.2222746656
BTC,2021-04-05,58843.5595402095,58230.6755383335,59243.0361752688,56846.9690472223
BTC,2021-04-06,58040.1876018833,59133.6557404877,59484.1994747287,57421.85308528
BTC,2021-04-07,56508.9428638801,58030.6218488382,58645.7729706819,55541.9061341434
BTC,2021-04-08,57880.9056838598,55996.080360144,58179.6568636965,55758.4911781937
BTC,2021-04-09,58171.9090187021,58094.7441282731,58880.8216078339,57717.8597781978
BTC,2021-04-10,59295.950044014,58149.6505908122,61065.2226248324,57924.0752636046
BTC,2021-04-11,59822.9016774304,59765.1038183476,60588.4719725509,59229.8601057682
BTC,2021-04-12,59853.1972422704,59998.1599130997,61219.7186131498,59428.2147494889
BTC,2021-04-13,63223.8843907858,59841.5613729139,63707.342359208,59799.4405780877
BTC,2021-04-14,62926.5571759009,63562.6735446382,64801.787869525,61400.2839683111
BTC,2021-04-15,63346.7890351052,62987.2701787333,63850.2507346948,62094.6329143272
BTC,2021-04-16,61965.7825980957,63225.0939171782,63520.3253743417,60033.5346667838
BTC,2021-04-17,60574.4447282273,61444.2325029806,62534.0284980254,59802.8892670907
BTC,2021-04-18,56850.8301656893,60191.5254059278,60531.9888482489,52148.9835438328
BTC,2021-04-19,56224.1015877117,56335.3891413899,57609.3681180061,54449.2453296336
BTC,2021-04-20,56608.7697483925,55723.2272628006,57121.9439016309,53442.8516601945
BTC,2021-04-21,54144.4274760563,56508.1512444248,56809.1463930716,53913.850515382
BTC,2021-04-22,51965.0595594061,53830.8238641807,55471.076371955,50500.7318617182
BTC,2021-04-23,50669.1443821756,51714.0739702794,52111.1850681793,47467.9120320183
BTC,2021-04-24,50733.7695036374,51217.1723295026,51253.4429476246,48932.1588139391
BTC,2021-04-25,48542.9522029844,50177.2374032254,50668.6590249368,47105.5930680066
BTC,2021-04-26,53558.7078446195,49139.2309545102,54398.5927883666,48854.5813736666
BTC,2021-04-27,55123.8619814166,54059.4740685049,55398.0741517103,53351.1153983396
BTC,2021-04-28,54591.5153255436,55086.9387053242,56458.6358118116,53915.3548335028
BTC,2021-04-29,53260.2953411529,54893.8716690807,55224.9079561952,52403.7436077167
BTC,2021-04-30,57302.6464240813,53598.8795025724,57434.9331269941,53097.7627943494
BTC,2021-05-01,57677.9752218988,57741.0209101257,58511.2560485114,57062.7000705128
BTC,2021-05-02,56427.0431250152,57824.3001866402,57925.7415674161,56123.0395077865
BTC,2021-05-03,57255.3068375553,56639.4397864873,59001.3596421217,56508.2404487566
BTC,2021-05-04,53658.8431208163,57218.8053294413,57246.8911912062,53613.5952176663
